player_name,total_points,Opp_GC_90,was_home,form,prev_tp_avg,xGipg_last7,comp_form
Alex Oxlade-Chamberlain,5,2.0,1,1.0,2.0,1.0,1.0
Alex Oxlade-Chamberlain,2,5.0,0,1.0,3.0,2.0,2.0
Alex Oxlade-Chamberlain,12,5.0,1,1.0,2.0,2.0,2.0
Alex Oxlade-Chamberlain,5,3.0,0,3.0,3.0,3.0,2.0
Alex Oxlade-Chamberlain,2,5.0,0,3.0,2.0,3.0,3.0
Alex Oxlade-Chamberlain,3,2.0,0,3.0,2.0,3.0,2.0
Alex Oxlade-Chamberlain,2,6.0,1,3.0,2.0,3.0,3.0
Alex Oxlade-Chamberlain,3,2.0,0,1.0,2.0,2.0,2.0
Alex Oxlade-Chamberlain,2,4.0,0,1.0,2.0,2.0,1.0
Alex Oxlade-Chamberlain,2,1.0,1,1.0,2.0,2.0,1.0
Alex Oxlade-Chamberlain,1,4.0,1,1.0,2.0,1.0,1.0
Alex Oxlade-Chamberlain,2,2.0,1,1.0,2.0,2.0,1.0
Alexis Sánchez,2,4.0,0,5.0,5.0,3.0,5.0
Alexis Sánchez,16,4.0,1,3.0,3.0,2.0,3.0
Alexis Sánchez,14,4.0,0,4.0,4.0,3.0,4.0
Alexis Sánchez,3,5.0,1,5.0,4.0,4.0,4.0
Alexis Sánchez,5,4.0,1,5.0,4.0,4.0,4.0
Alexis Sánchez,3,6.0,0,5.0,4.0,4.0,5.0
Alexis Sánchez,13,2.0,1,4.0,4.0,4.0,4.0
Alexis Sánchez,1,5.0,1,3.0,4.0,4.0,3.0
Alexis Sánchez,23,5.0,1,4.0,4.0,4.0,4.0
Alexis Sánchez,5,3.0,0,6.0,4.0,5.0,5.0
Alexis Sánchez,7,1.0,0,5.0,4.0,5.0,4.0
Alexis Sánchez,5,4.0,1,5.0,4.0,5.0,5.0
Alexis Sánchez,6,5.0,0,5.0,4.0,5.0,4.0
Alexis Sánchez,7,5.0,0,3.0,4.0,5.0,3.0
Alexis Sánchez,8,5.0,1,4.0,4.0,5.0,4.0
Alexis Sánchez,2,6.0,1,4.0,4.0,5.0,4.0
Alexis Sánchez,2,5.0,1,4.0,4.0,5.0,4.0
Alexis Sánchez,3,4.0,0,4.0,4.0,5.0,4.0
Alexis Sánchez,7,4.0,1,3.0,4.0,4.0,3.0
Alexis Sánchez,2,2.0,1,1.0,4.0,4.0,2.0
Alexis Sánchez,3,4.0,0,1.0,4.0,2.0,2.0
Alexis Sánchez,11,5.0,0,1.0,4.0,2.0,2.0
Alexis Sánchez,12,6.0,1,3.0,4.0,2.0,3.0
Alexis Sánchez,15,3.0,1,3.0,4.0,2.0,3.0
Alfie Mawson,7,5.0,0,5.0,4.0,4.0,4.0
Alfie Mawson,1,3.0,0,5.0,3.0,3.0,4.0
Alfie Mawson,6,4.0,0,5.0,3.0,3.0,4.0
Alfie Mawson,1,4.0,0,4.0,3.0,3.0,4.0
Alfie Mawson,1,4.0,0,1.0,3.0,3.0,2.0
Alfie Mawson,8,1.0,0,1.0,3.0,1.0,2.0
Alfie Mawson,1,4.0,1,3.0,3.0,1.0,2.0
Alfie Mawson,15,2.0,0,3.0,3.0,1.0,2.0
Alfie Mawson,1,4.0,1,4.0,3.0,1.0,4.0
Alfie Mawson,1,6.0,0,3.0,3.0,1.0,3.0
Alfie Mawson,8,5.0,0,3.0,3.0,1.0,3.0
Alfie Mawson,5,2.0,1,3.0,3.0,1.0,3.0
Alfie Mawson,1,5.0,0,3.0,3.0,1.0,3.0
Alfie Mawson,2,5.0,0,1.0,3.0,1.0,2.0
Alfie Mawson,2,5.0,1,2.0,3.0,1.0,2.0
Alfie Mawson,6,2.0,0,2.0,3.0,1.0,2.0
Alfie Mawson,2,3.0,1,1.0,3.0,1.0,2.0
Alfie Mawson,6,4.0,1,2.0,3.0,1.0,2.0
Alfred N'Diaye,10,3.0,0,3.0,3.0,1.0,2.0
Alfred N'Diaye,2,4.0,1,3.0,3.0,2.0,3.0
Alfred N'Diaye,2,4.0,0,3.0,3.0,2.0,3.0
Alfred N'Diaye,2,5.0,1,3.0,3.0,2.0,3.0
Alfred N'Diaye,2,3.0,0,3.0,3.0,2.0,2.0
Alfred N'Diaye,2,5.0,1,2.0,3.0,2.0,2.0
Alfred N'Diaye,1,4.0,1,1.0,3.0,1.0,1.0
Alfred N'Diaye,1,1.0,0,1.0,3.0,1.0,1.0
Alfred N'Diaye,1,5.0,0,1.0,3.0,1.0,1.0
Alfred N'Diaye,2,5.0,1,1.0,3.0,1.0,1.0
Alfred N'Diaye,2,4.0,0,1.0,3.0,1.0,1.0
Alfred N'Diaye,2,6.0,1,1.0,2.0,1.0,1.0
Alfred N'Diaye,2,4.0,0,1.0,2.0,1.0,1.0
Allan-Roméo Nyom,1,6.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,2.0,1,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,2.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,1,1.0,1,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,4.0,1,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,11,6.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,3,5.0,1,2.0,1.0,1.0,2.0
Allan-Roméo Nyom,2,2.0,0,2.0,1.0,1.0,2.0
Allan-Roméo Nyom,1,3.0,0,2.0,1.0,1.0,2.0
Allan-Roméo Nyom,2,4.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,8,2.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,5,4.0,0,1.0,1.0,1.0,2.0
Allan-Roméo Nyom,2,5.0,1,2.0,1.0,1.0,2.0
Allan-Roméo Nyom,6,5.0,0,2.0,1.0,1.0,2.0
Allan-Roméo Nyom,1,5.0,1,3.0,1.0,1.0,2.0
Allan-Roméo Nyom,1,4.0,1,3.0,1.0,1.0,2.0
Allan-Roméo Nyom,2,3.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,1,3.0,1,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,2.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,5,5.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,2.0,1,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,1,4.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,2,1.0,0,1.0,1.0,1.0,1.0
Allan-Roméo Nyom,4,5.0,0,1.0,1.0,1.0,1.0
Ander Herrera,1,4.0,1,2.0,2.0,2.0,2.0
Ander Herrera,2,5.0,1,1.0,1.0,1.0,1.0
Ander Herrera,1,2.0,0,1.0,1.0,1.0,1.0
Ander Herrera,3,2.0,0,1.0,1.0,1.0,1.0
Ander Herrera,2,3.0,0,1.0,1.0,1.0,2.0
Ander Herrera,2,2.0,1,1.0,1.0,1.0,2.0
Ander Herrera,2,4.0,0,2.0,1.0,1.0,2.0
Ander Herrera,3,6.0,1,2.0,1.0,1.0,2.0
Ander Herrera,3,4.0,1,2.0,1.0,1.0,2.0
Ander Herrera,2,5.0,0,2.0,1.0,2.0,2.0
Ander Herrera,1,5.0,0,2.0,1.0,2.0,2.0
Ander Herrera,3,6.0,1,1.0,1.0,2.0,2.0
Ander Herrera,3,4.0,0,1.0,1.0,1.0,2.0
